Page,Preprocessed Sentence
1,chapter 2 human reproduction 21 the male reproductive system as you are aware humans are sexually reproducing and 22 the female reproductive viviparous
2,the reproductive events in humans include system formation of gametes gametogenesis ie sperms in males 23 gametogenesis and ovum in females transfer of sperms into the female 24 menstrual cycle genital tract insemination and fusion of male and female gametes fertilisation leading to formation of zygote
3,this 25 fertilisation and is followed by formation and development of blastocyst implantation and its attachment to the uterine wall implantation 26 pregnancy and embryonic embryonic development gestation and delivery of the development baby parturition
4,you have learnt that these reproductive events occur after puberty
5,there are remarkable 27 parturition and lactation differences between the reproductive events in the male and in the female for example sperm formation continues even in old men but formation of ovum ceases in women around the age of fifty years
6,let us examine the male and female reproductive systems in human
7,21 t m r s he ale eproductive ystem the male reproductive system is located in the pelvis region figure 21a
8,it includes a pair of testes alongwith accessory ducts glands and the external genitalia
9,rationalised 202324
10,human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum
11,the scrotum helps in maintaining the low temperature of the testes 225o c lower than the normal internal body temperature necessary for spermatogenesis
12,in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm
13,the testis is covered by a dense covering
14,each testis has about 250 compartments called testicular lobules figure 21a diagrammatic sectional view of male pelvis figure 21b
15,showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced
16,each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 22
17,the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells
18,the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 22
19,leydig cells synthesise and secrete testicular hormones called figure 21b diagrammatic view of male reproductive system part of testis is open to show inner details androgens
20,other immunologically competent cells are also present
21,the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 21b
22,the seminiferous tubules of the testis open into the vasa efferentia through rete testis
23,the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis
24,the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder
25,it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 21a
26,these ducts store and transport the sperms from the testis to the outside through urethra
27,the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus
28,rationalised 202324
29,biology figure 22 diagrammatic sectional view of seminiferous tubule the penis is the male external genitalia figure 21a b
30,it is made up of special tissue that helps in erection of the penis to facilitate insemination
31,the enlarged end of penis called the glans penis is covered by a loose fold of skin called foreskin
32,the male accessory glands figure 21a b include paired seminal vesicles a prostate and paired bulbourethral glands
33,secretions of these glands constitute the seminal plasma which is rich in fructose calcium and certain enzymes
34,the secretions of bulbourethral glands also helps in the lubrication of the penis
35,22 t f r s he emale eproductive ystem the female reproductive system consists of a pair of ovaries alongwith a pair of oviducts uterus cervix vagina and the external genitalia located in pelvic region figure 23a
36,these parts of the system alongwith a pair of the mammary glands are integrated structurally and functionally to support the processes of ovulation fertilisation pregnancy birth and child care
37,ovaries are the primary female sex organs that produce the female 28 gamete ovum and several steroid hormones ovarian hormones
38,the ovaries are located one on each side of the lower abdomen figure 23b
39,each ovary is about 2 to 4 cm in length and is connected to the pelvic wall and uterus by ligaments
40,each ovary is covered by a thin epithelium which encloses the ovarian stroma
41,the stroma is divided into two zones a peripheral cortex and an inner medulla
42,rationalised 202324
43,human reproduction figure 23 a diagrammatic sectional view of female pelvis showing reproductive system the oviducts fallopian tubes uterus and vagina constitute the female accessory ducts
44,each fallopian tube is about 1012 cm long and extends from the periphery of each ovary to the uterus figure 23b the part closer to the ovary is the funnelshaped infundibulum
45,the edges of the infundibulum possess fingerlike projections called fimbriae which help in collection of the ovum after ovulation
46,the infundibulum leads to a wider 29 figure 23 b diagrammatic sectional view of the female reproductive system rationalised 202324
47,biology part of the oviduct called ampulla
48,the last part of the oviduct isthmus has a narrow lumen and it joins the uterus
49,the uterus is single and it is also called womb
50,the shape of the uterus is like an inverted pear
51,it is supported by ligaments attached to the pelvic wall
52,the uterus opens into vagina through a narrow cervix
53,the cavity of the cervix is called cervical canal figure 23b which alongwith vagina forms the birth canal
54,the wall of the uterus has three layers of tissue
55,the external thin membranous perimetrium middle thick layer of smooth muscle myometrium and inner glandular layer called endometrium that lines the uterine cavity
56,the endometrium undergoes cyclical changes during menstrual cycle while the myometrium exhibits strong contraction during delivery of the baby
57,the female external genitalia include mons pubis labia majora labia minora hymen and clitoris figure 23a
58,mons pubis is a cushion of fatty tissue covered by skin and pubic hair
59,the labia majora are fleshy folds of tissue which extend down from the mons pubis and surround the vaginal opening
60,the labia minora are paired folds of tissue under the labia majora
61,the opening of the vagina is often covered partially by a membrane called hymen
62,the clitoris is a tiny fingerlike structure which lies at the upper junction of the two labia minora above the urethral opening
63,the hymen is often torn during the first coitus intercourse
64,however it can also be broken by a sudden fall or jolt insertion of a vaginal tampon active participation in some sports like horseback riding cycling etc
65,in some women the hymen persists even after coitus
66,in fact the presence or absence of hymen is not a reliable indicator of virginity or sexual experience
67,30 figure 24 a diagrammatic sectional view of mammary gland rationalised 202324
68,human reproduction a functional mammary gland is characteristic of all female mammals
69,the mammary glands are paired structures breasts that contain glandular tissue and variable amount of fat
70,the glandular tissue of each breast is divided into 1520 mammary lobes containing clusters of cells called alveoli figure 24
71,the cells of alveoli secrete milk which is stored in the cavities lumens of alveoli
72,the alveoli open into mammary tubules
73,the tubules of each lobe join to form a mammary duct
74,several mammary ducts join to form a wider mammary ampulla which is connected to lactiferous duct through which milk is sucked out
75,23 g ametogenesis the primary sex organs the testis in the males and the ovaries in the femalesproduce gametes ie sperms and ovum respectively by the process called gametogenesis
76,in testis the immature male germ cells spermatogonia produce sperms by spermatogenesis that begins at puberty
77,the spermatogonia sing
78,spermatogonium present on the inside wall of seminiferous tubules multiply by mitotic division and increase in numbers
79,each spermatogonium is diploid and contains 46 chromosomes
80,some of the spermatogonia called primary spermatocytes periodically undergo meiosis
81,a primary spermatocyte completes the first meiotic division reduction division leading to formation of two equal haploid cells called secondary spermatocytes which have only 23 chromosomes each
82,the secondary spermatocytes undergo the second meiotic division to produce four equal haploid spermatids figure 25
83,what would be the number of chromosome in the spermatids
84,the spermatids are transformed into spermatozoa sperms by the process called spermiogenesis
85,after spermiogenesis sperm heads become embedded in the sertoli cells and are finally released from the seminiferous tubules by the process called spermiation
86,spermatogenesis starts at the age of figure 25 diagrammatic sectional view of a puberty due to significant increase in the seminiferous tubule enlarged secretion of gonadotropin releasing hormone 31 gnrh
87,this if you recall is a hypothalamic hormone
88,the increased levels of gnrh then acts at the anterior pituitary gland and stimulates secretion of two gonadotropins luteinising hormone lh and follicle stimulating hormone fsh
89,lh acts at the leydig cells and stimulates synthesis and secretion of androgens
90,androgens in turn stimulate the process of spermatogenesis
91,fsh acts on the sertoli cells and stimulates rationalised 202324
92,biology secretion of some factors which help in the process of spermiogenesis
93,let us examine the structure of a sperm
94,it is a microscopic structure composed of a head neck a middle piece and a tail figure 26
95,a plasma membrane envelops the whole body of sperm
96,the sperm head contains an elongated haploid nucleus the anterior portion of which is covered by a caplike structure acrosome
97,the acrosome is filled with enzymes that help fertilisation of the ovum
98,the middle piece possesses numerous mitochondria which produce energy for the movement of tail that facilitate sperm motility essential for fertilisation
99,the human male ejaculates about 200 to 300 million sperms during a coitus of which for normal fertility at least 60 per cent sperms must have normal shape and size and at least 40 per cent of them must show vigorous motility
100,sperms released from the seminiferous figure 26 structure of a sperm tubules are transported by the accessory ducts
101,secretions of epididymis vas deferens seminal vesicle and prostate are essential for maturation and motility of sperms
102,the seminal plasma along with the sperms constitute the semen
103,the functions of male sex accessory ducts and glands are maintained by the testicular hormones androgens
104,the process of formation of a mature female gamete is called oogenesis which is markedly different from spermatogenesis
105,oogenesis is initiated during the embryonic development stage when a couple of million gamete mother cells oogonia are formed within each fetal ovary no more oogonia are formed and added after birth
106,these cells start division and enter into prophasei of the meiotic division and get temporarily arrested at that stage called primary oocytes
107,each primary oocyte then gets surrounded by a layer of granulosa cells and is called the primary follicle figure 27
108,a large number of these follicles degenerate during the phase from birth to puberty
109,therefore at puberty only 6000080000 primary follicles are left in each ovary
110,the primary follicles get surrounded by more layers of granulosa cells and a new theca and are called secondary follicles
111,32 the secondary follicle soon transforms into a tertiary follicle which is characterised by a fluid filled cavity called antrum
112,the theca layer is organised into an inner theca interna and an outer theca externa
113,it is important to draw your attention that it is at this stage that the primary oocyte within the tertiary follicle grows in size and completes its first meiotic division
114,it is an unequal division resulting in the formation of a large haploid secondary oocyte and a tiny first polar body figure 28b
115,the rationalised 202324
116,human reproduction secondary oocyte retains bulk of the nutrient rich cytoplasm of the primary oocyte
117,can you think of any advantage for this
118,does the first polar body born out of first meiotic division divide further or degenerate
119,at present we are not very certain about this
120,the tertiary follicle further changes into the mature follicle or graafian follicle figure 27
121,the secondary oocyte forms a new membrane called zona pellucida surrounding it
122,the graafian follicle now ruptures to release the secondary oocyte ovum from the ovary by the process called ovulation
123,can you figure 27 diagrammatic section view of ovary identify major differences between spermatogenesis and oogenesis
124,a diagrammatic representation of spermatogenesis and oogenesis is given below figure 28
125,a b figure 28 schematic representation of a spermatogenesis b oogenesis 24 m c enstrual ycle 33 the reproductive cycle in the female primates eg
126,monkeys apes and human beings is called menstrual cycle
127,the first menstruation begins at puberty and is called menarche
128,in human females menstruation is repeated at an average interval of about 2829 days and the cycle of events starting from one menstruation till the next one is called the menstrual cycle
129,one ovum is released ovulation during the middle rationalised 202324
130,biology figure 29 diagrammatic presentation of various events during a menstrual cycle of each menstrual cycle
131,the major events of the menstrual cycle are shown in figure 29
132,the cycle starts with the menstrual phase when menstrual flow occurs and it lasts for 35 days
133,the menstrual flow results due to breakdown of endometrial lining of the uterus and its blood vessels which forms liquid that comes out through vagina
134,menstruation only occurs if the released ovum is not fertilised
135,lack of menstruation may be indicative of pregnancy
136,however it may also be 34 caused due to some other underlying causes like stress poor health etc
137,the menstrual phase is followed by the follicular phase
138,during this phase the primary follicles in the ovary grow to become a fully mature graafian follicle and simultaneously the endometrium of uterus regenerates through proliferation
139,these changes in the ovary and the uterus are induced by changes in the levels of pituitary and ovarian hormones figure 29
140,the secretion of rationalised 202324
141,human reproduction gonadotropins lh and fsh increases gradually during the follicular menstrual hygiene phase and stimulates follicular development as well as secretion of estrogens by the growing follicles
142,both lh and fsh attain a peak level maintenance of in the middle of cycle about 14th day
143,rapid secretion of lh leading to hygiene and sanitation during menstruation is its maximum level during the midcycle called lh surge induces rupture very important
144,take of graafian follicle and thereby the release of ovum ovulation
145,the bath and clean yourself ovulation ovulatory phase is followed by the luteal phase during which regulary
146,use sanitary napkins or clean the remaining parts of the graafian follicle transform as the corpus homemade pads
147,luteum figure 29
148,the corpus luteum secretes large amounts of change sanitary progesterone which is essential for maintenance of the endometrium
149,napkins or homemade such an endometrium is necessary for implantation of the fertilised pads after every 45 hrs as per the requirement
150,ovum and other events of pregnancy
151,during pregnancy all events of dispose of the used the menstrual cycle stop and there is no menstruation
